HOY;DOY;Month;Day;Hour;DataLoad
1076;45;2;14;20;700
1077;45;2;14;21;670
1078;45;2;14;22;620
1079;45;2;14;23;600
1080;45;2;14;24;590
1081;46;2;15;1;550
1082;46;2;15;2;550
1083;46;2;15;3;550
1084;46;2;15;4;550
1085;46;2;15;5;570
1086;46;2;15;6;600
1087;46;2;15;7;630
1088;46;2;15;8;670
1089;46;2;15;9;690
1090;46;2;15;10;670
1091;46;2;15;11;660
1092;46;2;15;12;650
1093;46;2;15;13;640
1094;46;2;15;14;620
1095;46;2;15;15;620
1096;46;2;15;16;650
1097;46;2;15;17;680
1098;46;2;15;18;690
1099;46;2;15;19;690
1100;46;2;15;20;700
1101;46;2;15;21;670
1102;46;2;15;22;620
1103;46;2;15;23;600
1104;46;2;15;24;590
1105;47;2;16;1;550
1106;47;2;16;2;550
1107;47;2;16;3;550
1108;47;2;16;4;550
1109;47;2;16;5;570
1110;47;2;16;6;600
1111;47;2;16;7;630
1112;47;2;16;8;670
1113;47;2;16;9;690
1114;47;2;16;10;670
1115;47;2;16;11;660
1116;47;2;16;12;650
1117;47;2;16;13;640
1118;47;2;16;14;620
1119;47;2;16;15;620
1120;47;2;16;16;650
1121;47;2;16;17;680
1122;47;2;16;18;690
1123;47;2;16;19;690
1124;47;2;16;20;700
1125;47;2;16;21;670
1126;47;2;16;22;620
1127;47;2;16;23;600
1128;47;2;16;24;590
1129;48;2;17;1;550
1130;48;2;17;2;550
1131;48;2;17;3;550
1132;48;2;17;4;550
1133;48;2;17;5;570
1134;48;2;17;6;600
1135;48;2;17;7;630
1136;48;2;17;8;670
1137;48;2;17;9;690
1138;48;2;17;10;670
1139;48;2;17;11;660
1140;48;2;17;12;650
1141;48;2;17;13;640
1142;48;2;17;14;620
1143;48;2;17;15;620
1144;48;2;17;16;650
